상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,lon,lat,총_유동인구_수,남성_유동인구_수_ratio,연령대_10_유동인구_수_ratio,연령대_20_유동인구_수_ratio,연령대_30_유동인구_수_ratio,연령대_40_유동인구_수_ratio,연령대_50_유동인구_수_ratio,시간대_00_06_유동인구_수_ratio,시간대_06_11_유동인구_수_ratio,시간대_11_14_유동인구_수_ratio,시간대_14_17_유동인구_수_ratio,시간대_17_21_유동인구_수_ratio,월요일_유동인구_수_ratio,화요일_유동인구_수_ratio,수요일_유동인구_수_ratio,목요일_유동인구_수_ratio,금요일_유동인구_수_ratio,토요일_유동인구_수_ratio
A,골목상권,3110008,배화여자대학교(박노수미술관),197093,453418,11110,종로구,11110515,청운효자동,149264,126.9670895683088,37.58030943835253,1251380.0,0.411448632,0.199667567,0.126817593,0.148344228,0.170431843,0.153741469,0.262181542,0.204955965,0.126842265,0.117950488,0.161404081,0.14365489,0.144182307,0.143427941,0.142862965,0.141967155,0.141522846
A,골목상권,3110009,자하문터널,196991,455057,11110,종로구,11110550,부암동,178306,126.96592808590958,37.59507637869068,162009.0,0.464134709,0.139634218,0.116283663,0.132825954,0.195501484,0.164663692,0.280299243,0.195711349,0.113302347,0.115092371,0.15763939,0.138121956,0.136517107,0.142269874,0.141381034,0.142121734,0.151257029
A,골목상권,3110010,평창동서측,197064,456643,11110,종로구,11110560,평창동,369415,126.96674832970702,37.60936632114107,122420.0,0.429766378,0.174311177,0.087968371,0.095156798,0.143850219,0.1965953,0.317543559,0.21635177,0.101681901,0.096543894,0.135148381,0.139234923,0.139545332,0.139831235,0.138532417,0.141015692,0.149086335
A,골목상권,3110017,정독도서관,198581,453781,11110,종로구,11110600,가회동,83855,126.98393465833044,37.58358353946917,449300.0,0.468193928,0.139151705,0.139111642,0.164453228,0.179830448,0.159908391,0.209594925,0.210080125,0.168444247,0.167395949,0.154262186,0.143130901,0.142995135,0.146582922,0.149211444,0.149353887,0.141230175
A,골목상권,3110018,중앙고등학교,198883,453690,11110,종로구,11110600,가회동,166872,126.98735391827724,37.58276405131138,449745.0,0.500414678,0.185022624,0.120368209,0.162100746,0.177885246,0.162721098,0.218863536,0.22448004,0.15603474,0.153255393,0.145121913,0.150822909,0.153657842,0.153322097,0.152534986,0.150589444,0.121059442
A,골목상권,3110019,창덕궁,199222,452926,11110,종로구,11110615,종로1·2·3·4가동,40999,126.9911927073349,37.57588080606533,557426.0,0.541528531,0.05064179,0.182049603,0.187734673,0.201026147,0.185730816,0.108455846,0.200195542,0.199953357,0.211536978,0.199924654,0.157915415,0.158152218,0.160016146,0.155272907,0.156347491,0.117127865
A,골목상권,3110020,서울국제고등학교,199598,454302,11110,종로구,11110650,혜화동,133692,126.9954484333874,37.58827871837829,1788799.0,0.435781214,0.151311409,0.428127556,0.09052041,0.091786062,0.102047684,0.306523927,0.217586091,0.111165027,0.101730769,0.134859682,0.147192055,0.147945074,0.145186239,0.14197906,0.136296476,0.138427515
A,골목상권,3110001,이북5도청사,196262,456660,11110,종로구,11110560,평창동,108529,126.95766519329229,37.60951658051797,126315.0,0.437006191,0.170274079,0.101770192,0.104596482,0.14775876,0.174873727,0.255963266,0.208019633,0.11359696,0.116763646,0.171927325,0.138696244,0.138308316,0.138601241,0.138696244,0.13855374,0.151489961
A,골목상권,3110002,독립문역 1번,196220,452912,11110,종로구,11110570,무악동,31531,126.95720886112564,37.57574723987454,547929.0,0.445346021,0.186950547,0.114678673,0.124287547,0.148600827,0.153229147,0.212247528,0.217337584,0.135387485,0.138181632,0.178323548,0.145087611,0.146069487,0.145941734,0.144567473,0.144145887,0.138720021
A,골목상권,3110003,세검정초등학교,196389,455998,11110,종로구,11110550,부암동,191570,126.95910679987408,37.60355253658663,552786.0,0.453917067,0.222655784,0.110062483,0.093054093,0.157853129,0.160995394,0.359960274,0.210394257,0.09055403,0.086250375,0.122787118,0.144359923,0.140924591,0.140513943,0.140343895,0.14009425,0.144595096
